Species name & GenBank accession #	Clade assignment
AY435093_Clam_Xparasite	Cercozoa
AF492442_Hiris_Xparasite	Cercozoa
EU189029_Paradinium_poucheti_PaOi01	Cercozoa
EU189032_Paradinium_PaEu41	Cercozoa
EU567275_clone_DB230551_Asceto	Cercozoa
AY449715_Pplat_Xparasite_03	Cercozoa
EU567276_clone_DB1412C3_Asceto	Cercozoa
DQ504354_clone_LC1043EP36_Asceto	Cercozoa
EU567277_clone_DB230552_Asceto	Cercozoa
AJ457814_Gromia_oviformis_Guam	Cercozoa
AJ457815_Gromia_oviformis_Hammamet	Cercozoa
AJ457813_Gromia_oviformis_Antarctica	Cercozoa
AJ457812_Gromia_oviformis_Reunion	Cercozoa
AJ457811_Gromia_oviformis_Madeira	Cercozoa
EU567292_Filoreta_turcica	Cercozoa
EU567293_Filoreta_japonica	Cercozoa
AY268044_Filoreta_marina	Cercozoa
EF514503_Filoreta_tenera	Cercozoa
EU567278_clone_DB1412C11_Filor	Cercozoa
EU446329_clone_UI12B05_Endo4	Cercozoa
EU567282_clone_DB230506_Endo4	Cercozoa
EU567281_clone_sm5_Endo5	Cercozoa
FN598385_clone_BS19_B6_Endo5	Cercozoa
AY180001_clone_CCA80_NC12a	Cercozoa
EU567291_clone_DB230533_NC12a	Cercozoa
AY180002_clone_CCA33_NC12a	Cercozoa
AB505574_clone_RM2_SGM66_NC12a	Cercozoa
AY821947_clone_CV1B141_NC12a	Cercozoa
AY180023_clone_CCW46_EndoX	Cercozoa
AB252760_clone_NAMAKO20_NC12b	Cercozoa
FJ153639_clone_GoC1F06_NC12b	Cercozoa
EU567290_clone_DB270319_NC12b	Cercozoa
EU567288_clone_DB230521_NC12b	Cercozoa
DQ244000_clone_PCC04AU2004_NC12b	Cercozoa
EU162632_clone_PCC12SP2005_NC10_type1	Cercozoa
EU162633_clone_PCA03SP2005_NC10_type1	Cercozoa
AY919754_clone_LG2101_NC10_type1	Cercozoa
AB622286_clone_K2JUL2009_NC10_type2	Cercozoa
JF730776_clone_Ch8A2mE7_NC10_type2	Cercozoa
AB622301_clone_K8AUG2009_NC10_type2	Cercozoa
HQ219347_clone_AY2009C14_NC10_basal	Cercozoa
DQ243999_clone_PCB07AU2004_NC10_basal	Cercozoa
GQ330591_clone_PR43E90_EndoX	Cercozoa
AY180003_clone_CCA44_EndoX	Cercozoa
FJ824131_Discomonas_retusa_CC2009b	Cercozoa
GQ144681_Thaumatomastix_CC002BoundaryBay	Cercozoa
DQ303923_Ebria_tripartita_2	Cercozoa
AF411276_Bodomorpha_minima_ATCC50339	Cercozoa
FJ790717_Cavernomonas_stercoris_CavE	Cercozoa
EU484394_Auranticordis_quadriverberis_2	Cercozoa
AF101052_Paracercomonas_marina_ATCC50344	Cercozoa
AY748806_Agitata_tremulans	Cercozoa
AJ418794_Pseudodifflugia_cf_gracilis	Cercozoa
AJ514867_Rhogostoma_minus	Cercozoa
X77692_Euglypha_rotunda	Cercozoa
AY266293_Coelodendrum_ramosissimum	Cercozoa
AF411285_AY620253_Metopion_fluens	Cercozoa
AY620254_Metromonas_simplex	Cercozoa
U03477_Chlorarachnion_reptans	Cercozoa
EF173002_EnvClone_SSRPE06	Cercozoa
DQ314819_EnvClone_NW61736	Cercozoa
AF289081_Nanofila_marina_NPor	Cercozoa
AF411283_Mesofila_limnetica_ATCC50522	Cercozoa
AY305009_Clathrulina_elegans	Cercozoa
AF174370_Massisteria_marina	Cercozoa
AJ514866_Limnofila_borokensis	Cercozoa
EU567285_clone_db5_NC11	Cercozoa
HQ121439_Tremula_longifila_ATCC50530	Cercozoa
EU567286_clone_lb6_NC11	Cercozoa
AF420478_Diphylleia_rotans	Diphyllatea
XXX_Collodictyon_Kamran	Diphyllatea
DQ366277_Octomitus_intestinalis	Excavata
AB263123_Dysnectes_brevis	Excavata
GU827604_Kipferlia_bialata_NY0173	Excavata
GU827589_Carped_like_PCE	Excavata
GU827592_Carpediemonas_like_CL	Excavata
AY117416_Carpediemonas_membranifera	Excavata
FJ628363_Hicanonectes_teleskopos	Excavata
AY117418_Jakoba_libera_ATCC50422	Excavata
DQ190541_Seculamonas_ecuadoriensis	Excavata
AY117417_Reclinomonas_americana_ATCC50283	Excavata
FJ157340_clone_kor2508048_Jakobida	Excavata
EF526978_clone_SA11D05_Jakobida	Excavata
EU446381_clone_cLA12C05_Jakobida	Excavata
DQ310279_clone_FV23CilE10_Jakobida	Excavata
AY965870_Andalucia_godoyi_28	Excavata
AY117419_Andalucia_incarcerata	Excavata
AB576851_Tsukubamonas_globosa	Excavata
AY425009_Diplonema_ambulator	Excavata
AF011465_Macropharyngomonas_halophila	Excavata
AF530543_clone_AT468_unknown	Excavata
AY117420_Malawimonas_jakobiformis	Excavata
AF534711_microheliozoon_TCS2002	Excavata
AJ007275_Cyanoptyche_gloeocystis	Glaucophyta
X68483_Cyanophora_paradoxa	Glaucophyta
X70803_Glaucocystis_nostochinearum	Glaucophyta
X81901_Gloeochaete_wittrockiana	Glaucophyta
AY642699_clone_P1_25_Cryptophyta	Hacrobia_1
FJ537320_clone_Biosope_T39_105_Cryptophyta	Hacrobia_1
AY705739_Goniomonas_sp_SH8	Hacrobia_1
U03072_Goniomonas_truncata	Hacrobia_1
AF508277_Goniomonas_pacifica	Hacrobia_1
AY360454_Goniomonas_sp_ATCC50108	Hacrobia_1
X57162_Guillardia_theta	Hacrobia_1
L28811_Cryptomonas_paramecium	Hacrobia_1
U53128_Rhodomonas_abbreviata	Hacrobia_1
EF172963_clone_SSRPD79_Cryptophyta	Hacrobia_1
AY642702_clone_P34_10_Katablepharida	Hacrobia_1
DQ980481_Leucocryptos_marina	Hacrobia_1
AB212285_Hatenia_arenicola	Hacrobia_1
AB231617_Katablepharis_japonica	Hacrobia_1
FJ969717_Roombia_truncata	Hacrobia_1
AJ564773_Telonema_antarcticum	Hacrobia_2
AJ564770_clone_BL01062525_Telonemia	Hacrobia_2
DQ103867_clone_M318B12_Telonemia	Hacrobia_2
AJ564772_Telonema_subtilis	Hacrobia_2
DQ222878_clone_RA00121938_picobiliphyte	Hacrobia_2
DQ222875_clone_OR000415159_picobiliphyte	Hacrobia_2
AJ246269_Prymnesium_parvum	Hacrobia_3
AJ246278_Chrysochromulina_acantha	Hacrobia_3
AB183618_Emiliania_sp_MBIC10582	Hacrobia_3
AJ246261_Coccolithus_pelagicus	Hacrobia_3
AF163147_Phaeocystis_cordata	Hacrobia_3
AF106048_Exanthemachrysis_gayraliae_Pav8	Hacrobia_3
AF106056_Diacronema_vlkianum	Hacrobia_3
L34669_Rebecca_salina	Hacrobia_3
FJ537336_clone_Biosope_T58_080_Haptophyta	Hacrobia_3
AY821959_clone_CV1_B1_97_Haptophyta	Hacrobia_3
AB508339_Palpitomonas_bilix	Hacrobia_4
AB191436_clone_TAGIRI28_Unknown	Hacrobia_4
AY179990_clone_CCA32_unknown	Hacrobia_4
AB003808_Aspergillus_cervinus	Holomycota
X04971_Neurospora_crassa	Holomycota
Z75578_Saccharomyces_cerevisiae	Holomycota
X54866_Schizosaccharomyces_pombe	Holomycota
Z27393_Neolectomyces_vitellina	Holomycota
L27658_Pneumocystis_carinii	Holomycota
D12531_Taphrina_wiesneri	Holomycota
AF356652_Filobasidiella_neoformans	Holomycota
AY550243_Amanita_bisporigera	Holomycota
L22258_Dacrymyces_stillatus	Holomycota
AB028189_Ustilago_shiraiana	Holomycota
AJ271380_Exobasidium_rostrupii	Holomycota
AB011018_Uredinopsis_intermedia	Holomycota
AB047306_Archaeospora_leptoticha	Holomycota
AJ276088_Glomus_versiforme	Holomycota
AF113425_Mortierella_wolfii	Holomycota
AF277013_Furculomyces_boomerangus	Holomycota
AB016009_Zophagus_insidians	Holomycota
AM114806_clone_WIM48	Holomycota
Y17504_Hyaloraphidium_curvatum	Holomycota
AY635839_Oedogoniomyces_sp_CR84	Holomycota
DQ536489_Physoderma_maculare_AFTOLID2004	Holomycota
AY635820_Entomophthora_muscae	Holomycota
X54863_Mucor_racemosus	Holomycota
U23936_Allomyces_macrogynus	Holomycota
AF164253_Lobulomyces_angularis_JEL45	Holomycota
DQ536487_Chytriomyces_hyalinus	Holomycota
X80341_Neocallimastix_frontalis_L2	Holomycota
AF368505_Basidiobolus_microsporus	Holomycota
GQ330640_clone_PR44E041_Excavata	Holomycota
GQ330641_clone_PR33E089_Excavata	Holomycota
FJ816018_Fonticula_alba_ATCC38817	Holomycota
AY082996_clone_RT5iin3	Holomycota
AJ130850_clone_LKM15	Holomycota
AM114814_clone_WIM27	Holomycota
AY635838_Rozella_allomycis	Holomycota
AB275064_clone_DSGM64	Holomycota
EU050973_clone_SS1E0110	Holomycota
AY364635_Nuclearia_pattersoni	Holomycota
AF349566_Nuclearia_simplex_CCAP15524	Holomycota
AY082985_clone_RT5iin14	Holomycota
EF219013_clone_18BR2	Holomycota
AJ228786_Notoplana_australis	Holozoa
X53986_Schistosoma_mansoni	Holozoa
AJ001735_Chaetonotus_sp	Holozoa
U49911_Brachionus_plicatilis	Holozoa
X79873_Lanice_conchilega	Holozoa
U91490_Limulus_polyphemus	Holozoa
X89481_Aeschna_cyanea	Holozoa
AF047888_Paracanthonchus_caecus	Holozoa
X87985_Gordius_aquaticus	Holozoa
M97573_Lampetra_aepyptera	Holozoa
AJ311672_Crocodylus_niloticus	Holozoa
AB013017_Ciona_intestinalis	Holozoa
AY291292_Xenoturbella_bocki	Holozoa
X97156_Amphipholis_squamata	Holozoa
AF236801_Saccoglossus_bromophenolosus	Holozoa
L10828_Trichoplax_adhaerens	Holozoa
AF358108_Carybdea_rastonii	Holozoa
AY428815_Aurelia_aurita	Holozoa
AF358094_Eudendrium_racemosum	Holozoa
X53498_Anemonia_sulcata	Holozoa
AF052909_Tubipora_musica	Holozoa
L10827_Scypha_ciliata	Holozoa
AF452017_Soleniscus_radovani	Holozoa
AF293694_Beroe_ovata	Holozoa
AF294679_Mertensia_ovum	Holozoa
AJ627186_Cinachyrella_apion	Holozoa
U43190_Axinella_polypoides	Holozoa
AF100947_Suberites_ficus	Holozoa
AF121110_Ephydatia_muelleri	Holozoa
